timestamp,id_mercado,id_liga,momio_1,momio_2,momio_3,vig_pct,tendencia_1,tendencia_2,tendencia_3
2026-06-27T00:00:29.379699,882043742,31908190,1.285,3.85,12.0,12.13,INCR,INCR,DECR
2026-06-27T00:00:59.385807,882033592,31907951,1.25,5.0,8.0,12.5,INCR,INCR,DECR
2026-06-27T00:00:59.385847,882064519,31908718,2.05,2.8,3.65,11.89,INCR,DECR,DECR
2026-06-27T00:01:29.390402,882033592,31907951,1.285,4.8,7.75,11.56,INCR,DECR,DECR
2026-06-27T00:01:59.396569,882043742,31908190,1.333,3.7,10.5,11.57,INCR,DECR,INCR
2026-06-27T00:01:59.396612,882043835,31908201,1.833,3.1,4.0,11.81,INCR,DECR,DECR
2026-06-27T00:01:59.396637,882064519,31908718,1.95,2.85,3.95,11.69,DECR,INCR,INCR
2026-06-27T00:01:59.396657,882033592,31907951,1.25,5.0,8.2,12.2,DECR,INCR,INCR
2026-06-27T00:02:29.400638,882033592,31907951,1.285,4.8,7.75,11.56,INCR,DECR,DECR
2026-06-27T00:02:29.400710,882043835,31908201,1.85,2.85,4.4,11.87,DECR,INCR,INCR
2026-06-27T00:02:59.404621,882064519,31908718,1.95,2.85,3.85,12.34,DECR,INCR,INCR
2026-06-27T00:02:59.404779,882043835,31908201,1.85,3.1,4.0,11.31,INCR,DECR,INCR
2026-06-27T00:03:29.418028,882043835,31908201,1.8,3.1,4.1,12.2,DECR,INCR,DECR
2026-06-27T00:03:29.418110,882064519,31908718,2.05,2.8,3.65,11.89,INCR,DECR,INCR
2026-06-27T00:03:29.418133,882058544,31908583,1.68,3.4,4.333,12.01,DECR,INCR,DECR
2026-06-27T00:03:59.422507,882033592,31907951,1.285,4.75,7.6,12.03,DECR,INCR,INCR
2026-06-27T00:03:59.422569,882064379,31908715,1.2,5.6,11.0,10.28,INCR,DECR,DECR
2026-06-27T00:04:29.426576,882043742,31908190,1.3,3.75,11.0,12.68,INCR,DECR,INCR
2026-06-27T00:04:29.426628,882064379,31908715,1.2,5.6,11.0,10.28,DECR,DECR,INCR
2026-06-27T00:04:29.426666,882043835,31908201,1.769,3.2,4.2,11.59,INCR,INCR,INCR
2026-06-27T00:04:59.436157,882043742,31908190,1.333,3.6,10.6,12.23,DECR,INCR,INCR
2026-06-27T00:04:59.436366,882043835,31908201,1.75,3.3,4.0,12.45,DECR,INCR,DECR
2026-06-27T00:05:29.441735,882043835,31908201,1.75,3.2,4.2,12.2,DECR,DECR,INCR
2026-06-27T00:05:29.441799,882043742,31908190,1.35,3.6,9.75,12.11,DECR,INCR,INCR
2026-06-27T00:05:29.441836,882033592,31907951,1.222,5.0,9.2,12.7,DECR,DECR,INCR
2026-06-27T00:05:29.441873,882049625,31908321,1.5,3.35,7.5,9.85,DECR,INCR,INCR
2026-06-27T00:05:59.444816,882043835,31908201,1.75,3.3,4.0,12.45,DECR,INCR,DECR
2026-06-27T00:05:59.444878,884831180,31991082,1.181,5.25,11.0,12.81,INCR,DECR,DECR
2026-06-27T00:05:59.444913,882043742,31908190,1.333,3.6,10.5,12.32,DECR,DECR,DECR
2026-06-27T00:06:29.449196,882043835,31908201,1.7,3.45,4.1,12.2,DECR,INCR,INCR
2026-06-27T00:06:29.449257,884831180,31991082,1.2,5.2,11.0,11.66,INCR,DECR,INCR
2026-06-27T00:06:29.449294,882064379,31908715,1.222,5.4,10.6,9.79,DECR,DECR,INCR
2026-06-27T00:06:29.449326,882033592,31907951,1.25,4.8,8.6,12.46,INCR,DECR,DECR
2026-06-27T00:07:29.476838,882043835,31908201,1.68,3.3,4.5,12.05,INCR,DECR,INCR
2026-06-27T00:07:59.486822,882064519,31908718,1.909,2.8,4.2,11.91,INCR,INCR,DECR
2026-06-27T00:07:59.486876,882049625,31908321,1.55,3.25,6.8,9.99,DECR,DECR,INCR
2026-06-27T00:07:59.486903,882043835,31908201,1.65,3.35,4.6,12.2,INCR,DECR,INCR
2026-06-27T00:07:59.486926,882058544,31908583,1.666,3.3,4.6,12.07,INCR,INCR,DECR
2026-06-27T00:08:29.492843,882043742,31908190,1.35,3.6,9.6,12.27,DECR,DECR,INCR
2026-06-27T00:08:29.492883,882058544,31908583,1.727,3.3,4.2,12.02,DECR,INCR,DECR
2026-06-27T00:08:29.492905,884831180,31991082,1.181,5.25,12.0,12.05,DECR,INCR,INCR
2026-06-27T00:08:59.497208,884831180,31991082,1.166,5.4,13.0,11.97,DECR,INCR,INCR
2026-06-27T00:08:59.497273,882043742,31908190,1.333,3.65,10.6,11.85,INCR,DECR,INCR
2026-06-27T00:08:59.497311,882043835,31908201,1.615,3.45,4.75,11.96,INCR,DECR,INCR
2026-06-27T00:09:29.479176,882043742,31908190,1.285,3.85,12.0,12.13,INCR,INCR,DECR
2026-06-27T00:09:29.479259,882033592,31907951,1.285,4.75,8.25,10.99,DECR,DECR,INCR
2026-06-27T00:09:29.479362,882049625,31908321,1.533,3.25,7.2,9.89,INCR,INCR,DECR
2026-06-27T00:09:59.476210,882043835,31908201,1.6,3.5,4.8,11.9,INCR,DECR,INCR
2026-06-27T00:09:59.476276,882043742,31908190,1.333,3.75,10.6,11.12,DECR,DECR,INCR
2026-06-27T00:10:29.478793,882058544,31908583,1.7,3.2,4.6,11.81,DECR,INCR,DECR
2026-06-27T00:10:59.482277,882043835,31908201,1.533,3.7,5.0,12.26,DECR,INCR,INCR
2026-06-27T00:10:59.482353,882043742,31908190,1.3,3.75,11.0,12.68,DECR,DECR,DECR
2026-06-27T00:10:59.482380,882058544,31908583,1.75,3.1,4.4,12.13,DECR,DECR,INCR
2026-06-27T00:10:59.482403,882064379,31908715,1.222,5.2,11.0,10.15,DECR,DECR,INCR
2026-06-27T00:11:29.485223,882049625,31908321,1.111,6.4,23.0,9.98,INCR,INCR,DECR
2026-06-27T00:11:29.485268,882043742,31908190,1.333,3.75,10.6,11.12,DECR,DECR,INCR
2026-06-27T00:11:59.487946,882049625,31908321,1.125,6.2,20.0,10.02,DECR,DECR,INCR
2026-06-27T00:11:59.488017,882043835,31908201,1.5,3.75,5.1,12.94,DECR,DECR,DECR
2026-06-27T00:11:59.488050,882033592,31907951,1.285,4.6,8.4,11.46,INCR,DECR,INCR
2026-06-27T00:12:29.491054,882058544,31908583,1.75,3.0,4.5,12.7,INCR,INCR,DECR
2026-06-27T00:12:29.491103,882064379,31908715,1.166,5.8,15.0,9.67,INCR,INCR,DECR
2026-06-27T00:12:29.491131,882043835,31908201,1.5,3.85,5.25,11.69,INCR,INCR,DECR
2026-06-27T00:12:29.491156,882049625,31908321,1.133,6.0,19.0,10.19,DECR,DECR,INCR
2026-06-27T00:12:59.493405,882033592,31907951,1.25,4.8,9.0,11.94,INCR,DECR,DECR
2026-06-27T00:12:59.493466,884831180,31991082,1.2,5.1,12.0,11.27,INCR,DECR,DECR
2026-06-27T00:12:59.493501,882043742,31908190,1.3,3.8,11.0,12.33,INCR,INCR,DECR
2026-06-27T00:12:59.493534,882058544,31908583,1.75,3.1,4.5,11.62,INCR,DECR,INCR
2026-06-27T00:13:29.495215,882043742,31908190,1.3,3.75,11.0,12.68,DECR,DECR,INCR
2026-06-27T00:13:29.495301,882043835,31908201,1.45,4.0,5.5,12.15,DECR,INCR,INCR
2026-06-27T00:13:29.495389,882058544,31908583,1.7,3.1,4.75,12.13,INCR,INCR,DECR
2026-06-27T00:13:29.495452,882049625,31908321,1.125,6.2,21.0,9.78,INCR,INCR,DECR
2026-06-27T00:13:59.500503,882043742,31908190,1.25,3.9,13.0,13.33,INCR,INCR,DECR
2026-06-27T00:13:59.500579,882058544,31908583,1.64,3.2,5.1,11.83,INCR,INCR,DECR
2026-06-27T00:13:59.500621,882064379,31908715,1.166,5.6,14.0,10.76,DECR,DECR,INCR
2026-06-27T00:14:29.506207,882043835,31908201,1.4,4.2,5.75,12.63,INCR,DECR,INCR
